domain,example,prompt,access_code,start_date,end_date,expire_after,session_length,n,max_tokens,temperature,top_p,presence_penalty,frequency_penalty,stop,engine,condition,additional_data
summarization,na,na,0058081e0f014fe0b3ea97d55a00ec58,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,13
summarization,na,na,ea51a52d340a423c85f9d8279803f180,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,14
summarization,na,na,23567c43375240c490e1e801eb0d5efa,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,14
summarization,na,na,2d56ea06b3ed4bc99636be9ded65b111,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,14
summarization,na,na,84adf7eee556459aa4de0d645538adc1,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,14
summarization,na,na,5387e8a25b3e45e3a422b90fc64a93b6,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,15
summarization,na,na,bc508e074fd244748043c5eb0261df01,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,15
summarization,na,na,48c9c539fd1747d9adff4eee7e910db1,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,15
summarization,na,na,f8ffc6a18a76436f9023002cca965324,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,15
summarization,na,na,1ebcecc047ac403f982abdbda768dbb4,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,16
summarization,na,na,c154f3d1e3e740019cf6f00a7337a106,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,16
summarization,na,na,20e4f352ca58459b9a7bed7196c61758,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,16
summarization,na,na,616b36001e8840eabd2e371143217311,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,16
summarization,na,na,5fb4343f063c49478b4b8d04611c6d43,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,17
summarization,na,na,43e75e50259f47118fdee731d5a5c426,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,17
summarization,na,na,58b1f97394b54fb2983cd7197f07bbf2,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,17
summarization,na,na,81fcf6d0f937493da3acd3e5d15bd691,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,17
summarization,na,na,9f21a9c139ce4a97a5c3c03ca9af1f71,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,18
summarization,na,na,7ff8693699144fc8829b86cc544ed9f0,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,18
summarization,na,na,921d8ca64b9c43dc904959179fecdb29,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,18
summarization,na,na,b5ecffd5251c4c469d084309e270cfc7,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,18
summarization,na,na,90d516f2f6bd4ee88cbb7720f786daf0,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,19
summarization,na,na,66021bcfab0d4579864a9d017b995879,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,19
summarization,na,na,bf43add0e002486d9099136f9efaa234,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,19
summarization,na,na,31b20664adb64f179c36cbc8501590c3,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,19
